moneyness_bucket,mean_dqn_value,mean_hold_value,mean_binomial_price,mean_abs_gap,count
ITM put,20.0,21.35738640858431,21.967701837107168,1.9677018371071686,72
ATM,4.612216701104153,7.120223937029383,6.664165558546109,2.055200335081637,48
OTM put,1.6217564587997566,3.108119433632538,2.806502050190224,1.1849077771246317,48
