moneyness_bucket,nn_mae,nn_rmse,nn_bias,binomial_mean,nn_mean,count
ITM put,0.09099100405035039,0.11161650796003152,-0.006271724586314864,21.967701837107168,21.961430112520855,72
ATM,0.10444253043606273,0.12290034793000523,-0.03168234611359456,6.664165558546109,6.632483212432514,48
OTM put,0.05034406912131723,0.06082424688315843,-0.005012036993625211,2.806502050190224,2.8014900131965987,48
