policy,value,std_error,exercise_rate,avg_exercise_step
always-hold-to-expiry,7.447945248151818,0.10980358199644065,0.0,
dqn,6.210629879584946,0.04353249035887995,0.787,18.610546378653112
random,0.9742243186123875,0.022248347297512492,1.0,1.0144
immediate-exercise,0.0,0.0,1.0,0.0
